Shape_Leng,Shape_Area,Island,WUI_Riskar,Wind_mph,NDVI_mean,mean_ann_rainfall_mm,avg_weeks_any_drought,avg_weeks_sev_drought,mean_slope_roughness,Avg_Fuel_Value,grass_mean,pct_dom_grass,Slope_mean_mm,total_pop,med_hh_income,pct_poverty,pct_unemployed,pct_less_hs,pct_bachelors_plus,pct_disability,pct_renter,pct_no_vehicle,pct_no_internet,pct_under5,pct_65plus,WUI_Area_m2,SUM_BurnArea_m2,COUNT_FIRE_UID,Freq_perYr,FRI_years
0.130783892,0.000653065,Kauai,Kekaha,4.408607511,0.385487065,505.2776286,10,0.646153846,0.209917,0.79284865,0.178941639,13.05971452,0.209916937,5622,82599,12.82604785,3.320101047,0.253036437,13.68927126,23.87166939,43.9079169,2.414373947,6.400898372,3.66417645,20.84667378,7468774.916,330892.9129,1,0.041666667,24
0.123977325,0.000748208,Kauai,Waimea,5.227377531,0.456582348,528.5084885,11.184,0.7,1.159194,0.771826551,0.28270503,13.40371081,1.159194387,5060.59812,84583.96889,10.73379589,4.168015072,1.510905731,12.82260059,22.18108362,47.13417563,1.586375125,7.247997692,3.612390969,19.9625029,8557307.894,694170.7901,2,0.083333333,12
0.060208153,0.000171244,Kauai,Pakala,7.759101101,0.452501085,521.3278809,1.91,0.12,0.376909,0.868728664,0.224200484,14.29347921,0.3769095,3985,88387,6.725219573,5.792546026,3.920876016,11.16213352,18.94206549,53.31541219,NA,8.870967742,3.513174404,18.2685069,1958921.178,NA,NA,NA,NA
0.117363156,0.00056463,Kauai,Hanapepe,8.492373375,0.497437875,631.2269218,15.295,0.806666667,1.300507,0.900403356,0.367200961,34.65820143,1.300506551,3994.643182,88506.27691,6.760051163,5.766121939,3.898324551,11.2384873,18.96715953,53.11485127,0.017770392,8.84076126,3.533980998,18.29686086,6459723.312,NA,NA,NA,NA
0.098842262,0.00044183,Kauai,Eleele,7.345464195,0.509088309,687.4444896,13.46,0.793333333,1.242053,0.821178433,0.383858905,36.05842765,1.242053258,5099.836868,102827.4022,10.82746114,2.722426633,1.262054406,20.32472219,21.96137568,29.51877565,2.079655828,5.239510324,5.990377992,21.57718575,5055127.064,NA,NA,NA,NA
0.061853309,0.000288868,Kauai,Numila,6.606278708,0.549732816,807.081142,10.92363636,0.694545455,0.327157,0.929560834,0.414742804,36.7721256,0.327156885,5516,107324,12.25525743,1.597325409,0.340492404,23.28444212,22.92612089,21.47335423,2.821316614,4.07523511,6.81653372,22.77012328,3305282.851,NA,NA,NA,NA
0.162158928,0.001537442,Kauai,Kalaheo,5.733757603,0.599423077,1393.564802,11.97245902,0.109508197,1.839931,0.896332145,0.452578421,39.52978056,1.839930537,4530.399138,112474.0386,10.70364592,3.893302455,1.267767437,24.41984105,23.51175347,25.71494206,1.678111098,3.449000748,6.603875815,20.69372245,17589079.44,NA,NA,NA,NA
0.148419415,0.000766571,Kauai,Lawai,3.93147508,0.607877221,1685.037767,11.4875,0.06125,2.097124,0.900340078,0.402007482,41.3944979,2.097123533,3407.644268,102574.1719,6.693313457,9.408176291,2.10173779,22.80002152,22.83940926,36.85659504,0.612597837,3.299024186,7.069188665,22.31547169,8769750.028,NA,NA,NA,NA
0.106786966,0.000547695,Kauai,Omao,4.376785554,0.600905715,1739.85343,11.38285714,0.154285714,1.181847,0.969261869,0.397090087,41.70364758,1.181847009,3406.321428,92476.41251,5.253836833,11.26945632,1.960485,20.93448711,21.98173825,40.90619848,0.762812716,3.659264293,7.522375233,24.86798385,6265743.263,NA,NA,NA,NA
0.126561402,0.000400597,Kauai,Poipu,8.192135562,0.419511569,870.6131388,7.967058824,0.44,0.48972,0.852901873,0.426588874,41.76375405,0.489720023,3220.231655,103363.9669,5.319873948,5.782668328,0.670889612,24.76020183,27.53187626,34.87710635,2.255024232,4.453022992,9.826759535,23.22927481,4584341.783,610248.8107,3,0.125,8
