"WUI_ID","pred_mean","pred_total","obs_total","n_obs"
"Waiane",10.4039614642237,10.4039614642237,15,1
"Makaha",8.87105579664718,8.87105579664718,9,1
"Nanakuli",7.49231470603096,7.49231470603096,7,1
"Maili",7.22541815113165,7.22541815113165,7,1
"Hapuna/Mauna Kea",5.5598108049766,5.5598108049766,7,1
"Wahiwa",5.46385308027563,5.46385308027563,5,1
"Kawaihae Road Subdivisions",5.15972394099295,5.15972394099295,5,1
"Lahaina",4.94316023150395,4.94316023150395,5,1
"Kihei",4.91074678943586,4.91074678943586,5,1
"Kohala Estates/Kohala by the sea",4.84491485502075,4.84491485502075,4,1
