"","Estimate","Std. Error","z value","Pr(>|z|)","Relative_Risk"
"(Intercept)",0.6954625706843,0.0909419377839163,7.64732517946519,2.05202941579837e-14,2.00463614542016
"wind_mph_z",0.0106015510128889,0.099515375599562,0.106531789173446,0.91516043479752,1.0106579465721
"ndvi_z",-0.051386836433679,0.147446033519533,-0.348512843696616,0.727455069845004,0.949911139212353
"rain_mm_z",0.00744894700815704,0.230570197219405,0.0323066341530202,0.974227518678829,1.00747675942878
"drought_any_z",0.0773891385803013,0.230477268172109,0.33577775020533,0.737038469781128,1.08046244421824
"drought_sev_z",-0.00691053118953486,0.176489306868826,-0.0391555234259662,0.968766393585504,0.993113291623441
"slope_rough_z",0.047227044398527,0.109139500239726,0.432721831186622,0.665216867785504,1.04836000632774
"grass_mean_z",-0.022962099990886,0.27198481692211,-0.0844241978310939,0.932719168874757,0.977299522732203
"pct_dom_grass_z",-0.0516710666905044,0.252538625960231,-0.20460658837449,0.837879507526029,0.949641184091817
"fuel_avg_z",-0.03824069854341,0.111631958008149,-0.342560492763358,0.731929127766167,0.962481245174134
"fri_years_z",-0.722241602103694,0.130118396654644,-5.55064941370775,2.84610341285042e-08,0.485662373077284
"total_pop_z",-0.0395619692007725,0.10722143839807,-0.368974430784028,0.712146783440891,0.96121038670551
"med_hh_income_z",0.139087522784863,0.215106754629502,0.646597653450846,0.517892377109041,1.1492246789464
"pct_poverty_z",0.168933164403952,0.166472926925357,1.01477860408917,0.310211375000852,1.18404100019336
"pct_unemployed_z",0.0749536648043432,0.153777866848387,0.487415167998406,0.625964146694703,1.07783420806867
"pct_less_hs_z",0.0508769682883063,0.111427524200583,0.456592468093624,0.647963993898759,1.05219343216046
"pct_bachelors_plus_z",-0.0780013801133792,0.144865029544229,-0.538441750633576,0.59027210911167,0.92496314998864
"pct_disability_z",0.00764428780178348,0.18408513241242,0.0415258293899444,0.966876701734293,1.00767357996144
"pct_renter_z",-0.0280019732222541,0.134001374783063,-0.208967805498914,0.834473371251056,0.972386448064775
"pct_no_vehicle_z",-0.0588650466784577,0.128883740159806,-0.456729814059317,0.647865258652515,0.9428339991517
"pct_no_internet_z",0.0683217265592368,0.130764777713513,0.522478053753284,0.601337522826491,1.07070972882821
"pct_under5_z",0.0715460376860744,0.166541127071422,0.429599816839186,0.667486770347456,1.07416760175384
"pct_65plus_z",0.0553930237909194,0.205821491882881,0.269131388001209,0.787828577092367,1.05695594188453
