"","wind_mph","ndvi","rain_mm","drought_any","drought_sev","slope_rough","grass_mean","pct_dom_grass","fuel_avg","fri_years","total_pop","med_hh_income","pct_poverty","pct_unemployed","pct_less_hs","pct_bachelors_plus","pct_disability","pct_renter","pct_no_vehicle","pct_no_internet","pct_under5","pct_65plus"
"wind_mph",1,-0.266349553988026,-0.414957465804871,0.159374408068896,0.10091912989994,-0.0127822900260992,-0.0271402622457656,0.00508769237078766,0.338369277658068,-0.306487544933501,-0.137552697142333,0.27186770162895,-0.0925492124420107,0.164801197521363,0.0318885275470726,0.172645855329882,0.0879920557812276,0.128051612854473,-0.182944597342338,-0.259876224689623,0.0763798782757955,-0.275028037495406
"ndvi",-0.266349553988026,1,0.647703563969481,-0.266634672012603,-0.374002262826872,0.223682854006756,0.207335677565323,0.154276048445701,0.144642941849655,0.311245030874716,0.138087825317454,-0.333105736195009,0.208385783289454,0.0107931338372934,0.127874100917365,-0.341251780131374,0.056186000724232,0.00600623138079393,0.153601700547883,0.522776738256095,0.124654261052552,0.0124694764972826
"rain_mm",-0.414957465804871,0.647703563969481,1,-0.527236669035168,-0.440708056834351,0.235510657503194,0.183102295336518,0.14006206672308,-0.0263265356240266,0.460292359927558,0.00948310714792269,-0.324925901904136,0.466881478271694,-0.0639906697748002,0.0233768763947256,-0.16291121812647,0.0765168151454632,-0.13447150101853,0.239335226516621,0.494373917560853,0.0815621665758089,-0.042288547577461
"drought_any",0.159374408068896,-0.266634672012603,-0.527236669035168,1,0.823133320909125,-0.39092605156631,0.328922833776276,0.360476237259533,-0.035140104206517,-0.217949870696612,0.0621979716256461,0.0672793499042473,-0.228801861297304,0.188575313313462,-0.291265600308271,0.0928503842255947,-0.370204310141755,-0.415366022410997,-0.0650560548600233,-0.155268673581139,-0.322154699558147,0.500699381619211
"drought_sev",0.10091912989994,-0.374002262826872,-0.440708056834351,0.823133320909125,1,-0.307793943772167,0.207131150862469,0.229446197170411,-0.13727479812032,-0.132768900797505,-0.0458096946227636,0.141179656922066,-0.242192624903251,0.0473922855998124,-0.305932852617288,0.287320989351906,-0.389661652925201,-0.357332157691104,-0.24816501603965,-0.265888402818717,-0.342082742316701,0.515056647017206
"slope_rough",-0.0127822900260992,0.223682854006756,0.235510657503194,-0.39092605156631,-0.307793943772167,1,0.111085428466995,0.0191029933932852,0.0428332697862242,-0.0676205719877884,-0.23760690799658,0.309645009325808,-0.130347513186485,-0.108817052093458,0.133616039240277,0.0606198574467659,-0.0571730225981657,0.0680424217121571,0.0856558842485473,-0.0707866508379648,-0.0246813785280929,-0.084143855146099
"grass_mean",-0.0271402622457656,0.207335677565323,0.183102295336518,0.328922833776276,0.207131150862469,0.111085428466995,1,0.94403484863175,-0.092377899270825,0.0983617179920913,-0.149668957890126,-0.00332995067353357,0.104522351008023,0.226646237836031,-0.108736581066028,0.0782753368329401,-0.253495461064849,-0.250973550244258,0.0531037528522055,0.0759910109530138,-0.057148829538196,0.181670870611882
"pct_dom_grass",0.00508769237078766,0.154276048445701,0.14006206672308,0.360476237259533,0.229446197170411,0.0191029933932852,0.94403484863175,1,-0.0770504256947895,0.0534504486702008,-0.153911158321154,-0.0286172925903383,0.0991901795500741,0.242270952472681,-0.104138727870605,0.100542515930587,-0.217049821198383,-0.236084069624574,0.00475875128165402,0.123426869587264,-0.0334136784300217,0.174957291650895
"fuel_avg",0.338369277658068,0.144642941849655,-0.0263265356240266,-0.035140104206517,-0.13727479812032,0.0428332697862242,-0.092377899270825,-0.0770504256947895,1,-0.254269730985303,0.0277053026982466,0.157366758892497,-0.0269223611875808,0.00524013300563169,0.198578324351419,0.0830785156823224,0.0778964490080954,0.0858050809997307,-0.070419912260666,-0.0571649189388829,-0.0364608143888783,-0.218312583736967
"fri_years",-0.306487544933501,0.311245030874716,0.460292359927558,-0.217949870696612,-0.132768900797505,-0.0676205719877884,0.0983617179920913,0.0534504486702008,-0.254269730985303,1,0.00732651101920346,-0.176013303930691,0.063695529393713,-0.193487089085991,-0.0703486932220052,0.0411205974179212,-0.142952443663007,-0.0475800547010388,0.0555016910629854,0.345071786270763,-0.0635602065387527,0.14380321024424
"total_pop",-0.137552697142333,0.138087825317454,0.00948310714792269,0.0621979716256461,-0.0458096946227636,-0.23760690799658,-0.149668957890126,-0.153911158321154,0.0277053026982466,0.00732651101920346,1,-0.183144741060945,0.0384925125127242,-0.145814245845699,0.108977818265472,-0.379484205934595,0.340941287776937,-0.0787091095387728,-0.0589873056327385,0.18356884417244,0.0405179997520514,-0.165278098783743
"med_hh_income",0.27186770162895,-0.333105736195009,-0.324925901904136,0.0672793499042473,0.141179656922066,0.309645009325808,-0.00332995067353357,-0.0286172925903383,0.157366758892497,-0.176013303930691,-0.183144741060945,1,-0.653366999185892,-0.473291845747844,0.038171267900473,0.66456299841419,-0.114349838993905,-0.141725267401046,-0.236444228531346,-0.55731530348234,-0.238692385314241,-0.0984284015291819
"pct_poverty",-0.0925492124420107,0.208385783289454,0.466881478271694,-0.228801861297304,-0.242192624903251,-0.130347513186485,0.104522351008023,0.0991901795500741,-0.0269223611875808,0.063695529393713,0.0384925125127242,-0.653366999185892,1,0.460060569866807,-0.0601304051667834,-0.390226921243559,0.102163370191053,0.0753691871474964,0.239160247421036,0.373190461039556,-0.010429650735121,-0.12677387170177
"pct_unemployed",0.164801197521363,0.0107931338372934,-0.0639906697748002,0.188575313313462,0.0473922855998124,-0.108817052093458,0.226646237836031,0.242270952472681,0.00524013300563169,-0.193487089085991,-0.145814245845699,-0.473291845747844,0.460060569866807,1,-0.289641777726337,-0.329096871863872,-0.0108528293413084,0.0653368707280328,0.30602354845068,0.0207380494373975,0.0735854050738715,0.0725369571134109
"pct_less_hs",0.0318885275470726,0.127874100917365,0.0233768763947256,-0.291265600308271,-0.305932852617288,0.133616039240277,-0.108736581066028,-0.104138727870605,0.198578324351419,-0.0703486932220052,0.108977818265472,0.038171267900473,-0.0601304051667834,-0.289641777726337,1,-0.0427663833900798,0.25189552372976,0.338825610649596,0.180804236478874,0.18755409507636,-0.0080372318237173,-0.34382641609907
