WUI_Riskar,WUI_Area_m2,SUM_BurnArea_m2,BP_prop,COUNT_FIRE_UID,Freq_perYr,FRI_years
Kekaha,7468774.904437065,330892.9129321575,0.044303505884958454,1,0.041666666666666664,24
Waimea,8557307.872451305,694170.7901235521,0.08112023085651839,2,0.08333333333333333,12
Pakala,1958921.1876205802,0,0,0,0,NA
Hanapepe,6459723.3401863575,0,0,0,0,NA
Eleele,5055127.028663993,0,0,0,0,NA
Numila,3305282.8822011948,0,0,0,0,NA
Kalaheo,17589079.388165534,0,0,0,0,NA
Lawai,8769749.983570233,0,0,0,0,NA
Omao,6265743.3475141525,0,0,0,0,NA
Poipu,4584341.805075111,610248.8106656373,0.13311590553524155,3,0.125,8
Koloa,12604435.116574183,0,0,0,0,NA
Kahili Wai,2875562.8843939304,0,0,0,0,NA
Niumalu,2242693.190414846,0,0,0,0,NA
Puhi,7737308.304944932,0,0,0,0,NA
Lihue,13408706.147823334,489434.77094602585,0.03650126757572929,1,0.041666666666666664,24
Hanamaulu,8298053.013047099,293629.4070186615,0.03538533756737701,1,0.041666666666666664,24
Wailua Homestead,22011885.279363606,869626.0763197541,0.039507114692035876,2,0.08333333333333333,12
Wailua House Lots,8309675.133459091,0,0,0,0,NA
Waipouli,4252027.300560713,0,0,0,0,NA
Kealia,3844976.7881526947,0,0,0,0,NA
Kapaa,24661862.305233,0,0,0,0,NA
Anahola,5151704.57217598,659654.1944232173,0.12804581186311936,4,0.16666666666666666,6
Papaa,12474873.472173452,0,0,0,0,NA
Moloaa,11612748.850029945,0,0,0,0,NA
Kilauea,19112081.46341849,0,0,0,0,NA
Kalihiwai,15298550.284010828,0,0,0,0,NA
Princeville,12669945.015930176,0,0,0,0,NA
Hanalei,8069303.955444545,0,0,0,0,NA
Lumahai,6136105.683118567,0,0,0,0,NA
Wainaha-Haena,2835953.204987392,0,0,0,0,NA
Makua Keeau,929477.0711688995,388138.53705759346,0.41758807085953714,2,0.08333333333333333,12
Makaha,12746732.74975564,9533764.043361358,0.7479378622372173,9,0.375,2.6666666666666665
Waiane,12304741.444444388,10702637.164788242,0.8697978103083589,15,0.625,1.6
Maili,16449277.252391815,1881504.0056238398,0.11438216869681972,7,0.2916666666666667,3.4285714285714284
Nanakuli,17375189.330123603,10047730.002532214,0.5782803175049337,7,0.2916666666666667,3.4285714285714284
Honokai/Koolina,7832644.007509261,2244672.949461028,0.28657921224417066,5,0.20833333333333334,4.8
Makakilo,16064100.904439926,1093063.1842994988,0.06804384452026127,5,0.20833333333333334,4.8
Kapolei,17859068.924163103,166665.71869516,0.009332273670194716,2,0.08333333333333333,12
Ewa,24478345.36249411,13768.219566270709,5.624652876810239e-4,1,0.041666666666666664,24
Waikele,26463422.069523573,2923862.8509839773,0.11048695226575496,3,0.125,8
